transcription,orthography,translation,translation_ru
mʁə,мгъы,thorn,колючка
mza,мза,lamp,лампа
mzə,мзы,moon,луна
mzətɕ,мзыч,tree pitch,древесная_смола
mχʲæ,мхьа,sterile,бесплодный
mtsa,мца,fire,огонь
mtsə,мцы,lie,ложь
mtɕɪ,мчы,strong,сильный
mtʂ’tʂət,мшIтшыт,piece of wood,кусок дерева
mʂə,мшы,day,день
mʔa,мъа,belt,пояс
pʰa,па,son,сын
pʰeɕ,пещ,room,комната
sbəb,сбыб,blister,волдырь
psqʰa,псхъа,dead body,труп (только в ругательстве)
psə,псы,soul,душа
ptʂtʂə,птштшы,broken,сломанный
pʰud,пуд,cheap,дешевый
pχa,пха,heat,тепло
pχdzə,пхдзы,sweat,пот
pχtə,пхты,scab,чесотка
pχəz,пхыз,sleep,сон
pʂa,пша,wind,ветер
pʂdza,пшдза,beautiful,красивый
pʂkʰa,пшка,soft,мягкий
pʂəχʲ,пшыхь,breeze,ветерок
pɕba,пщба,four,четыре
pʰədʑ,пыджь,buckle,пряжка
pʰəts,пыц,tooth,зуб
sa,са,I,я
skʰʷʂə,сквшы,year,год
skʰʷʂəzcʰ,сквшызкь,thousand years,тысяча_лет
ssa,сса,small,мелкий
staʑ,стажь,let me come down,Разреши мне спустись (в погреб)
sə,сы,snow,снег
səs,сыс,lamb,ягненок
tc’i,ткIьи,strict,строгий
tdzə,тдзы,hous,дом
tʰopʰ,топ,ball,мяч
tʂbəɡ,тшбыг,scythe,коса
tʂʑɪ,тшжьы,horse meat,конина
tʂpsaχ,тшпсАх,to change (imp),меняйся
tʂpɕæ,тшпщА,to rest (imp),отдыхай
tʂpəts,тшпыц,horse tooth,зуб_(лошади)
tʂɾədz,тшрыдз,to disappear (imp),исчезни
tʂtɕə,тштщЫ,to dip into something (imp),окунайся
tʂχʲæ,тшхьа,forage,корм
tʂə,тшы,horse,лошадь
tʂət,тшыт,piece,кусок
tʂəχʷχ,тшыхвх,to wound yourself (imp),поранься
tʂəχʂ,тшыхш,koumiss,кумыс
tʂəʂʂ,тшышш,to make up yourself (imp),накрасься
tʂəɕχ,тшыщх,to kill yourself (imp),убей себя
tʂəɕɕ,тшЫщщ,to stroke yourself (imp),погладь себя
tʰəpʰ,тып,shelter of branches,шалаш
tʰəχ,тых,shoo! (to a cat),брысь
χʷba,хвба,five,пять
χʷit,хвит,free,свободный
χzə,хзы,whey,сыворотка
χpa,хпа,three,три
χʂə,хшы,milk,молоко
qʰʷda,хъвда,neck,шея
qʰʷdaʂ,хъвдаш,white neck (bird),белошейка
qʰʷdzə,хъвдзы,millet,пшено
qʰʷdzəts,хъвдзыц,grain,зернышко
qʰpʂʂa,хъпшша,get dry,просохший
qʰtɕkʷpsa,хъчквпса,lace pillow cover,накидка_на_подушку
qʰtɕɪ,хъчы,pillow,подушка
qʰəχʲ,хъыхь,headache,головная боль
qʰəʂ,хъыш,light,светлый
χə,хы,bullet,пуля
χʲapɕ,хьапщ,gold,золото
χʲzə,хьзы,name,имя
χʲta,хьта,frost,мороз
ts’ba,цIба,lack of something,недостаток
ts’ʁa,цIгъа,cord,шнур
ts’da,цIда,cord,шнур
ts’χə,цIхы,night,ночь
ts’ɕɪ,цIщы,sole,подошва
tsa,ца,corn bin,закром
tsba,цба,six,шесть
tscæ,цкьа,clean,чистый
tsχa,цха,honey,мёд
tɕæc,чакь,doubt,сомнение
tŝʷʁʲɪ,чвгъьы,bull,бык
tŝʷɟæ,чвгьа,evil,злой
tŝʷcæɕ,чвкьащ,unfortunate,"несчастный, бедный; облезлый"
tɕqa,чхъа,ear,колос
tɕ’ɪc,чыкь,shortish,низкорослый
tʂ’tbʑə,шIтбжьы,call,зов
ŝʷχə,швхы,carrot,морковь
ʂʔa,шъа,document,документ
ʂta,шта,motherland,отчизна
ʂʂa,шша,fat,жир
ɕta,щта,track,след
ɕχa,щха,bee,пчела
ɕqa,щхъа,pasture,место для выгона скота
ɕa,ща,blood,кровь
ɕʔa,щъа,prop,подпора
